Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/30/11,AQS,170010007,1,0.033,ppm,31,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/31/11,AQS,170010007,1,0.033,ppm,31,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/1/11,AQS,170010007,1,0.043,ppm,40,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/2/11,AQS,170010007,1,0.041,ppm,38,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/3/11,AQS,170010007,1,0.039,ppm,36,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/4/11,AQS,170010007,1,0.042,ppm,39,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/5/11,AQS,170010007,1,0.051,ppm,47,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/6/11,AQS,170010007,1,0.049,ppm,45,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/7/11,AQS,170010007,1,0.041,ppm,38,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/8/11,AQS,170010007,1,0.036,ppm,33,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/9/11,AQS,170010007,1,0.038,ppm,35,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/10/11,AQS,170010007,1,0.044,ppm,41,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/11/11,AQS,170010007,1,0.045,ppm,42,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/12/11,AQS,170010007,1,0.057,ppm,58,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/13/11,AQS,170010007,1,0.06,ppm,67,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/14/11,AQS,170010007,1,0.043,ppm,40,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/15/11,AQS,170010007,1,0.035,ppm,32,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/16/11,AQS,170010007,1,0.04,ppm,37,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/17/11,AQS,170010007,1,0.039,ppm,36,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/18/11,AQS,170010007,1,0.04,ppm,37,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/19/11,AQS,170010007,1,0.037,ppm,34,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/20/11,AQS,170010007,1,0.03,ppm,28,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/21/11,AQS,170010007,1,0.034,ppm,31,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/22/11,AQS,170010007,1,0.031,ppm,29,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/23/11,AQS,170010007,1,0.022,ppm,20,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
