Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/2/15,AQS,171190008,1,0.061,ppm,71,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/3/15,AQS,171190008,1,0.059,ppm,64,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/4/15,AQS,171190008,1,0.054,ppm,50,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/5/15,AQS,171190008,1,0.057,ppm,58,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/6/15,AQS,171190008,1,0.061,ppm,71,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/7/15,AQS,171190008,1,0.05,ppm,46,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/8/15,AQS,171190008,1,0.024,ppm,22,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/9/15,AQS,171190008,1,0.033,ppm,31,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/10/15,AQS,171190008,1,0.045,ppm,42,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/11/15,AQS,171190008,1,0.039,ppm,36,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/12/15,AQS,171190008,1,0.056,ppm,54,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/13/15,AQS,171190008,1,0.049,ppm,45,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/14/15,AQS,171190008,1,0.044,ppm,41,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/15/15,AQS,171190008,1,0.04,ppm,37,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/16/15,AQS,171190008,1,0.032,ppm,30,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/17/15,AQS,171190008,1,0.044,ppm,41,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/18/15,AQS,171190008,1,0.043,ppm,40,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/19/15,AQS,171190008,1,0.036,ppm,33,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/20/15,AQS,171190008,1,0.033,ppm,31,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/21/15,AQS,171190008,1,0.049,ppm,45,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/22/15,AQS,171190008,1,0.056,ppm,54,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/23/15,AQS,171190008,1,0.063,ppm,77,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/24/15,AQS,171190008,1,0.044,ppm,41,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/25/15,AQS,171190008,1,0.043,ppm,40,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/26/15,AQS,171190008,1,0.05,ppm,46,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/27/15,AQS,171190008,1,0.049,ppm,45,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/28/15,AQS,171190008,1,0.048,ppm,44,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/29/15,AQS,171190008,1,0.038,ppm,35,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/30/15,AQS,171190008,1,0.035,ppm,32,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
5/31/15,AQS,171190008,1,0.022,ppm,20,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/1/15,AQS,171190008,1,0.037,ppm,34,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/2/15,AQS,171190008,1,0.051,ppm,47,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/3/15,AQS,171190008,1,0.043,ppm,40,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/4/15,AQS,171190008,1,0.039,ppm,36,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/5/15,AQS,171190008,1,0.05,ppm,46,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/6/15,AQS,171190008,1,0.053,ppm,49,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/7/15,AQS,171190008,1,0.044,ppm,41,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
